Counter,coll.date,count.date,block,row.no,plant.no,total.berries,berry.no,mass,brix,big.seeds,med.seeds,lil.seeds,notes,total.seeds,big.med.seeds,percent.big.seeds,percent.big.med.seeds,percent.unfertilized
Erin/Laney,7/16/2018,3/18/2019,A,3,34,8,4,2.0637,15,45,28,6,,79,73,0.569620253,0.924050633,0.075949367
Erin/Laney,7/16/2018,3/18/2019,A,3,34,8,5,1.7518,15,38,30,13,,81,68,0.469135802,0.839506173,0.160493827
Erin/Laney,7/16/2018,3/18/2019,A,4,140,5,1,1.3591,15,37,28,10,,75,65,0.493333333,0.866666667,0.133333333
Erin/Laney,7/16/2018,3/18/2019,A,4,140,5,2,1.5222,15,37,47,3,,87,84,0.425287356,0.965517241,0.034482759
Erin/Laney,7/16/2018,3/18/2019,A,4,140,5,3,1.566,15,28,50,13,,91,78,0.307692308,0.857142857,0.142857143
Erin/Laney,7/16/2018,3/18/2019,A,4,140,5,4,1.607,15,45,36,6,,87,81,0.517241379,0.931034483,0.068965517
Erin/Laney,7/16/2018,3/18/2019,A,4,140,5,5,1.3514,15,27,53,13,,93,80,0.290322581,0.860215054,0.139784946
Erin/Meg,7/18/2018,3/7/2019,A,5,88,2,1,2.4284,17.5,27,31,5,,63,58,0.428571429,0.920634921,0.079365079
Erin/Meg,7/18/2018,3/7/2019,A,5,88,2,2,2.0569,15,49,34,2,,85,83,0.576470588,0.976470588,0.023529412
Erin/Meg,7/18/2018,3/7/2019,A,6,253,5,1,1.1105,10,35,30,9,,74,65,0.472972973,0.878378378,0.121621622
Erin/Meg,7/18/2018,3/7/2019,A,6,253,5,2,1.1454,9,45,24,18,,87,69,0.517241379,0.793103448,0.206896552
Erin/Meg,7/18/2018,3/7/2019,A,6,253,5,3,1.2681,10,44,21,10,,75,65,0.586666667,0.866666667,0.133333333
Erin/Meg,7/18/2018,3/7/2019,A,6,253,5,4,1.0422,14,16,67,45,,128,83,0.125,0.6484375,0.3515625
Erin/Meg,7/18/2018,3/7/2019,A,6,253,5,5,1.2842,9,47,28,9,,84,75,0.55952381,0.892857143,0.107142857
Erin/Meg,7/18/2018,3/7/2019,A,5,158,2,1,1.3514,11,28,27,9,,64,55,0.4375,0.859375,0.140625
Erin/Meg,7/18/2018,3/7/2019,A,5,158,2,2,1.8727,12,32,28,4,,64,60,0.5,0.9375,0.0625
Erin/Meg,7/16/2018,3/21/2019,A,2,98,3,1,1.3043,14,39,36,19,,94,75,0.414893617,0.79787234,0.20212766
Erin/Meg,7/16/2018,3/21/2019,A,2,98,3,2,1.2055,11,33,34,19,,86,67,0.38372093,0.779069767,0.220930233
Erin/Meg,7/16/2018,3/21/2019,A,2,98,3,3,1.1925,12,34,33,19,,86,67,0.395348837,0.779069767,0.220930233
Erin/Meg,7/16/2018,3/21/2019,A,2,33,2,1,2.0699,8,41,41,13,,95,82,0.431578947,0.863157895,0.136842105
Erin/Meg,7/16/2018,3/21/2019,A,2,33,2,2,1.9579,8,44,30,19,,93,74,0.47311828,0.795698925,0.204301075
Erin/Meg,7/16/2018,3/21/2019,A,1,57,2,1,1.2115,14,26,21,17,,64,47,0.40625,0.734375,0.265625
Erin/Meg,7/16/2018,3/21/2019,A,1,57,2,2,1.1232,15,24,23,14,,61,47,0.393442623,0.770491803,0.229508197
Erin/Meg,7/16/2018,3/21/2019,A,4,144,1,1,2.8347,19,40,35,8,,83,75,0.481927711,0.903614458,0.096385542
Erin/Meg,7/16/2018,3/21/2019,A,1,148,1,1,0.9618,11,36,19,7,,62,55,0.580645161,0.887096774,0.112903226
Erin/Meg,7/16/2018,3/21/2019,A,2,154,1,1,1.4877,14,39,49,8,,96,88,0.40625,0.916666667,0.083333333
Erin/Meg,7/18/2018,3/21/2019,A,5,225,1,1,1.7534,24,27,44,8,,79,71,0.341772152,0.898734177,0.101265823
Erin/Meg,7/19/2018,3/21/2019,A,2,154,3,1,1.1393,9,20,71,10,,101,91,0.198019802,0.900990099,0.099009901
Erin/Meg,7/19/2018,3/21/2019,A,2,154,3,2,1.2863,14,25,39,22,,86,64,0.290697674,0.744186047,0.255813953
Erin/Meg,7/19/2018,3/21/2019,A,2,154,3,3,1.7643,12,39,40,14,,93,79,0.419354839,0.849462366,0.150537634
Erin/Meg,7/16/2018,3/21/2019,A,2,226,1,1,2.0601,16,30,31,8,,69,61,0.434782609,0.884057971,0.115942029
Erin/Ryan,7/16/2018,3/7/2019,A,3,120,5,1,1.4165,10,52,19,20,,91,71,0.571428571,0.78021978,0.21978022
Erin/Ryan,7/16/2018,3/7/2019,A,3,120,5,2,0.9993,9,38,14,10,,62,52,0.612903226,0.838709677,0.161290323
Erin/Ryan,7/16/2018,3/7/2019,A,3,120,5,3,1.2318,9,32,44,14,,90,76,0.355555556,0.844444444,0.155555556
Erin/Ryan,7/16/2018,3/7/2019,A,3,120,5,4,1.4831,15,44,31,7,,82,75,0.536585366,0.914634146,0.085365854
Erin/Ryan,7/16/2018,3/7/2019,A,3,120,5,5,1.4621,14,22,44,22,,88,66,0.25,0.75,0.25
Erin/Ryan,7/16/2018,3/20/2018,A,1,63,5,1,1.3582,13,41,17,19,,77,58,0.532467532,0.753246753,0.246753247
Erin/Ryan,7/16/2018,3/20/2018,A,1,63,5,2,1.2602,14,36,25,12,,73,61,0.493150685,0.835616438,0.164383562
Erin/Ryan,7/16/2018,3/20/2018,A,1,63,5,3,1.3895,14,42,15,5,,62,57,0.677419355,0.919354839,0.080645161
Erin/Ryan,7/16/2018,3/20/2018,A,1,63,5,4,1.34,15,40,29,5,,74,69,0.540540541,0.932432432,0.067567568
Erin/Ryan,7/16/2018,3/20/2018,A,1,63,5,5,1.4704,14,32,29,14,,75,61,0.426666667,0.813333333,0.186666667
Erin/Ryan,7/16/2018,3/20/2018,A,2,118,4,1,1.9787,17,45,15,7,,67,60,0.671641791,0.895522388,0.104477612
Erin/Ryan,7/16/2018,3/20/2018,A,2,118,4,2,1.6266,11,27,42,8,,77,69,0.350649351,0.896103896,0.103896104
Erin/Ryan,7/16/2018,3/20/2018,A,2,118,4,3,1.4339,10,29,27,19,,75,56,0.386666667,0.746666667,0.253333333
Erin/Ryan,7/16/2018,3/20/2018,A,2,118,4,4,2.1443,15,27,29,18,,74,56,0.364864865,0.756756757,0.243243243
Erin/Ryan,7/19/2018,3/20/2018,A,3,120,3,1,2.207,14,38,36,17,,91,74,0.417582418,0.813186813,0.186813187
Erin/Ryan,7/19/2018,3/20/2018,A,3,120,3,2,2.483,14,48,38,14,,100,86,0.48,0.86,0.14
Erin/Ryan,7/19/2018,3/20/2018,A,3,120,3,3,2.0684,13,31,28,14,,73,59,0.424657534,0.808219178,0.191780822
Erin/Ryan,7/16/2018,3/20/2018,A,3,92,2,1,2.1124,11,30,52,7,,89,82,0.337078652,0.921348315,0.078651685
